,Brand,APPLE,ASUS,Avita,DELL,HP,Lenovo,MSI,acer
116,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
117,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
118,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
119,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
120,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
121,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
122,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
123,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
124,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
125,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
126,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
127,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
128,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
129,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
130,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
131,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
132,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
133,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
134,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
135,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
136,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
137,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
138,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
139,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
140,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
141,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
142,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
143,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
144,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
145,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
146,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
147,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
148,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
149,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
150,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
151,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
152,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
153,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
154,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
155,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
156,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
157,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
158,acer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
159,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
160,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
161,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
162,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
163,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
164,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
165,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
166,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
167,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
168,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
169,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
170,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
171,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
172,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
173,acer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
174,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
175,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
176,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
177,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
178,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
179,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
180,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
181,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
182,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
183,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
184,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
185,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
186,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
187,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
188,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
189,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
190,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
191,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
192,acer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
193,acer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
194,acer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
195,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
196,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
197,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
198,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
199,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
200,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
201,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
202,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
203,acer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
204,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
205,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
206,acer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
207,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
208,acer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
209,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
210,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
211,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
212,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
213,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
214,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
215,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
216,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
