,Weight,Casual,Gaming,ThinNlight
723,Casual,1.0,0.0,0.0
724,Casual,1.0,0.0,0.0
725,Gaming,0.0,1.0,0.0
726,Casual,1.0,0.0,0.0
727,Casual,1.0,0.0,0.0
728,Casual,1.0,0.0,0.0
729,Casual,1.0,0.0,0.0
730,Casual,1.0,0.0,0.0
731,Casual,1.0,0.0,0.0
732,Casual,1.0,0.0,0.0
733,Casual,1.0,0.0,0.0
734,Casual,1.0,0.0,0.0
735,Casual,1.0,0.0,0.0
736,ThinNlight,0.0,0.0,1.0
737,Casual,1.0,0.0,0.0
738,Casual,1.0,0.0,0.0
739,ThinNlight,0.0,0.0,1.0
740,Casual,1.0,0.0,0.0
741,Casual,1.0,0.0,0.0
742,Casual,1.0,0.0,0.0
743,Casual,1.0,0.0,0.0
744,Casual,1.0,0.0,0.0
745,Casual,1.0,0.0,0.0
746,Casual,1.0,0.0,0.0
747,Casual,1.0,0.0,0.0
748,ThinNlight,0.0,0.0,1.0
749,Casual,1.0,0.0,0.0
750,Casual,1.0,0.0,0.0
751,Gaming,0.0,1.0,0.0
752,Casual,1.0,0.0,0.0
753,Casual,1.0,0.0,0.0
754,ThinNlight,0.0,0.0,1.0
755,ThinNlight,0.0,0.0,1.0
756,Casual,1.0,0.0,0.0
757,Casual,1.0,0.0,0.0
758,Casual,1.0,0.0,0.0
759,Gaming,0.0,1.0,0.0
760,Casual,1.0,0.0,0.0
761,Casual,1.0,0.0,0.0
762,Casual,1.0,0.0,0.0
763,Casual,1.0,0.0,0.0
764,Casual,1.0,0.0,0.0
765,Casual,1.0,0.0,0.0
766,Casual,1.0,0.0,0.0
767,Casual,1.0,0.0,0.0
768,Casual,1.0,0.0,0.0
769,ThinNlight,0.0,0.0,1.0
770,Gaming,0.0,1.0,0.0
771,Casual,1.0,0.0,0.0
772,Casual,1.0,0.0,0.0
773,Casual,1.0,0.0,0.0
774,Casual,1.0,0.0,0.0
775,Casual,1.0,0.0,0.0
776,Casual,1.0,0.0,0.0
777,Casual,1.0,0.0,0.0
778,Casual,1.0,0.0,0.0
779,Casual,1.0,0.0,0.0
780,Casual,1.0,0.0,0.0
781,Casual,1.0,0.0,0.0
782,Casual,1.0,0.0,0.0
783,Casual,1.0,0.0,0.0
784,Casual,1.0,0.0,0.0
785,Casual,1.0,0.0,0.0
786,Casual,1.0,0.0,0.0
787,Casual,1.0,0.0,0.0
788,Casual,1.0,0.0,0.0
789,Casual,1.0,0.0,0.0
790,Casual,1.0,0.0,0.0
791,Casual,1.0,0.0,0.0
792,Casual,1.0,0.0,0.0
793,Casual,1.0,0.0,0.0
794,Casual,1.0,0.0,0.0
795,Casual,1.0,0.0,0.0
796,Casual,1.0,0.0,0.0
797,Casual,1.0,0.0,0.0
798,Casual,1.0,0.0,0.0
799,Casual,1.0,0.0,0.0
800,ThinNlight,0.0,0.0,1.0
