,Os,DOS,Mac,Windows
734,Windows,0.0,0.0,1.0
735,Windows,0.0,0.0,1.0
736,Windows,0.0,0.0,1.0
737,Windows,0.0,0.0,1.0
738,Windows,0.0,0.0,1.0
739,Windows,0.0,0.0,1.0
740,Windows,0.0,0.0,1.0
741,Windows,0.0,0.0,1.0
742,Windows,0.0,0.0,1.0
743,Windows,0.0,0.0,1.0
744,Windows,0.0,0.0,1.0
745,Windows,0.0,0.0,1.0
746,Windows,0.0,0.0,1.0
747,Windows,0.0,0.0,1.0
748,Windows,0.0,0.0,1.0
749,Windows,0.0,0.0,1.0
750,Windows,0.0,0.0,1.0
751,Windows,0.0,0.0,1.0
752,Windows,0.0,0.0,1.0
753,Windows,0.0,0.0,1.0
754,Windows,0.0,0.0,1.0
755,Windows,0.0,0.0,1.0
756,Windows,0.0,0.0,1.0
757,Windows,0.0,0.0,1.0
758,Windows,0.0,0.0,1.0
759,Windows,0.0,0.0,1.0
760,Windows,0.0,0.0,1.0
761,Windows,0.0,0.0,1.0
762,Windows,0.0,0.0,1.0
763,Windows,0.0,0.0,1.0
764,Windows,0.0,0.0,1.0
765,Windows,0.0,0.0,1.0
766,Windows,0.0,0.0,1.0
767,Windows,0.0,0.0,1.0
768,Windows,0.0,0.0,1.0
769,Windows,0.0,0.0,1.0
770,Windows,0.0,0.0,1.0
771,Windows,0.0,0.0,1.0
772,Windows,0.0,0.0,1.0
773,Windows,0.0,0.0,1.0
774,Windows,0.0,0.0,1.0
775,Windows,0.0,0.0,1.0
776,Windows,0.0,0.0,1.0
777,Windows,0.0,0.0,1.0
778,Windows,0.0,0.0,1.0
779,Windows,0.0,0.0,1.0
780,Windows,0.0,0.0,1.0
781,Windows,0.0,0.0,1.0
782,Windows,0.0,0.0,1.0
783,Windows,0.0,0.0,1.0
784,Windows,0.0,0.0,1.0
785,Windows,0.0,0.0,1.0
786,Windows,0.0,0.0,1.0
787,Windows,0.0,0.0,1.0
788,Windows,0.0,0.0,1.0
789,Windows,0.0,0.0,1.0
790,Windows,0.0,0.0,1.0
791,Windows,0.0,0.0,1.0
792,Windows,0.0,0.0,1.0
793,Windows,0.0,0.0,1.0
794,Windows,0.0,0.0,1.0
795,Windows,0.0,0.0,1.0
796,Windows,0.0,0.0,1.0
797,Windows,0.0,0.0,1.0
798,Windows,0.0,0.0,1.0
799,Windows,0.0,0.0,1.0
800,DOS,1.0,0.0,0.0
