,Processor_brand,AMD,Intel,M1
576,Intel,0.0,1.0,0.0
577,Intel,0.0,1.0,0.0
578,Intel,0.0,1.0,0.0
579,Intel,0.0,1.0,0.0
580,Intel,0.0,1.0,0.0
581,Intel,0.0,1.0,0.0
582,M1,0.0,0.0,1.0
583,M1,0.0,0.0,1.0
584,M1,0.0,0.0,1.0
585,M1,0.0,0.0,1.0
586,M1,0.0,0.0,1.0
587,M1,0.0,0.0,1.0
588,M1,0.0,0.0,1.0
589,M1,0.0,0.0,1.0
590,M1,0.0,0.0,1.0
591,M1,0.0,0.0,1.0
592,M1,0.0,0.0,1.0
593,M1,0.0,0.0,1.0
594,M1,0.0,0.0,1.0
595,M1,0.0,0.0,1.0
596,M1,0.0,0.0,1.0
597,M1,0.0,0.0,1.0
598,M1,0.0,0.0,1.0
599,M1,0.0,0.0,1.0
600,M1,0.0,0.0,1.0
601,Intel,0.0,1.0,0.0
602,Intel,0.0,1.0,0.0
603,Intel,0.0,1.0,0.0
604,Intel,0.0,1.0,0.0
605,Intel,0.0,1.0,0.0
606,Intel,0.0,1.0,0.0
607,Intel,0.0,1.0,0.0
608,Intel,0.0,1.0,0.0
609,Intel,0.0,1.0,0.0
610,Intel,0.0,1.0,0.0
611,Intel,0.0,1.0,0.0
612,Intel,0.0,1.0,0.0
613,Intel,0.0,1.0,0.0
614,AMD,1.0,0.0,0.0
615,AMD,1.0,0.0,0.0
616,AMD,1.0,0.0,0.0
617,AMD,1.0,0.0,0.0
618,AMD,1.0,0.0,0.0
619,AMD,1.0,0.0,0.0
620,AMD,1.0,0.0,0.0
621,AMD,1.0,0.0,0.0
622,AMD,1.0,0.0,0.0
623,AMD,1.0,0.0,0.0
624,AMD,1.0,0.0,0.0
625,AMD,1.0,0.0,0.0
626,AMD,1.0,0.0,0.0
627,AMD,1.0,0.0,0.0
628,AMD,1.0,0.0,0.0
629,AMD,1.0,0.0,0.0
630,AMD,1.0,0.0,0.0
631,AMD,1.0,0.0,0.0
632,AMD,1.0,0.0,0.0
633,AMD,1.0,0.0,0.0
634,AMD,1.0,0.0,0.0
635,AMD,1.0,0.0,0.0
636,AMD,1.0,0.0,0.0
637,AMD,1.0,0.0,0.0
638,AMD,1.0,0.0,0.0
639,AMD,1.0,0.0,0.0
640,AMD,1.0,0.0,0.0
641,AMD,1.0,0.0,0.0
642,AMD,1.0,0.0,0.0
643,AMD,1.0,0.0,0.0
644,AMD,1.0,0.0,0.0
645,AMD,1.0,0.0,0.0
646,AMD,1.0,0.0,0.0
647,AMD,1.0,0.0,0.0
648,AMD,1.0,0.0,0.0
649,AMD,1.0,0.0,0.0
650,AMD,1.0,0.0,0.0
651,AMD,1.0,0.0,0.0
652,AMD,1.0,0.0,0.0
653,AMD,1.0,0.0,0.0
654,AMD,1.0,0.0,0.0
655,AMD,1.0,0.0,0.0
656,AMD,1.0,0.0,0.0
657,AMD,1.0,0.0,0.0
658,AMD,1.0,0.0,0.0
659,AMD,1.0,0.0,0.0
660,AMD,1.0,0.0,0.0
661,AMD,1.0,0.0,0.0
662,AMD,1.0,0.0,0.0
663,AMD,1.0,0.0,0.0
664,AMD,1.0,0.0,0.0
665,AMD,1.0,0.0,0.0
666,AMD,1.0,0.0,0.0
667,AMD,1.0,0.0,0.0
668,AMD,1.0,0.0,0.0
669,AMD,1.0,0.0,0.0
670,AMD,1.0,0.0,0.0
671,AMD,1.0,0.0,0.0
672,AMD,1.0,0.0,0.0
673,AMD,1.0,0.0,0.0
674,AMD,1.0,0.0,0.0
675,AMD,1.0,0.0,0.0
676,AMD,1.0,0.0,0.0
677,AMD,1.0,0.0,0.0
678,AMD,1.0,0.0,0.0
679,AMD,1.0,0.0,0.0
680,AMD,1.0,0.0,0.0
681,AMD,1.0,0.0,0.0
682,AMD,1.0,0.0,0.0
683,AMD,1.0,0.0,0.0
684,AMD,1.0,0.0,0.0
685,AMD,1.0,0.0,0.0
686,AMD,1.0,0.0,0.0
687,AMD,1.0,0.0,0.0
688,AMD,1.0,0.0,0.0
689,AMD,1.0,0.0,0.0
690,AMD,1.0,0.0,0.0
691,AMD,1.0,0.0,0.0
692,AMD,1.0,0.0,0.0
693,AMD,1.0,0.0,0.0
694,AMD,1.0,0.0,0.0
695,AMD,1.0,0.0,0.0
696,AMD,1.0,0.0,0.0
697,AMD,1.0,0.0,0.0
698,AMD,1.0,0.0,0.0
699,AMD,1.0,0.0,0.0
700,AMD,1.0,0.0,0.0
701,AMD,1.0,0.0,0.0
702,AMD,1.0,0.0,0.0
703,AMD,1.0,0.0,0.0
704,AMD,1.0,0.0,0.0
705,AMD,1.0,0.0,0.0
706,AMD,1.0,0.0,0.0
707,AMD,1.0,0.0,0.0
708,AMD,1.0,0.0,0.0
709,AMD,1.0,0.0,0.0
710,AMD,1.0,0.0,0.0
711,AMD,1.0,0.0,0.0
712,AMD,1.0,0.0,0.0
713,AMD,1.0,0.0,0.0
714,AMD,1.0,0.0,0.0
715,AMD,1.0,0.0,0.0
716,AMD,1.0,0.0,0.0
717,AMD,1.0,0.0,0.0
718,AMD,1.0,0.0,0.0
719,AMD,1.0,0.0,0.0
720,AMD,1.0,0.0,0.0
721,AMD,1.0,0.0,0.0
722,AMD,1.0,0.0,0.0
723,AMD,1.0,0.0,0.0
724,AMD,1.0,0.0,0.0
725,AMD,1.0,0.0,0.0
726,AMD,1.0,0.0,0.0
727,AMD,1.0,0.0,0.0
728,Intel,0.0,1.0,0.0
729,AMD,1.0,0.0,0.0
730,AMD,1.0,0.0,0.0
731,AMD,1.0,0.0,0.0
732,AMD,1.0,0.0,0.0
733,AMD,1.0,0.0,0.0
734,AMD,1.0,0.0,0.0
