,Brand,Processor_brand,Processor_name,Processor_gnrtn,Ram_gb,Ram_type,Ssd,Hdd,Os,Os_bit,Graphic_card_gb,Weight,Warranty,Touchscreen,Msoffice,Price,Rating,Number of ratings,Number of reviews
214,HP,Intel,Core i5,11th,16,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,67990,4,108,6
215,ASUS,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,4,Gaming,1,No,No,57990,4,3712,412
216,Lenovo,Intel,Core i5,11th,16,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,62300,4,825,95
217,Lenovo,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,No,52990,3,0,0
218,Lenovo,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,2,No,Yes,51990,4,85,4
219,Lenovo,Intel,Core i5,11th,16,DDR4,512,0,Windows,64,0,ThinNlight,1,No,No,61990,4,56,7
220,ASUS,Intel,Core i5,11th,8,LPDDR4X,512,0,Windows,32,0,Casual,1,Yes,Yes,63990,4,10,1
221,Lenovo,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,1,No,Yes,65990,4,17,4
222,acer,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,No,52990,4,155,20
223,Lenovo,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,No,49990,3,0,0
