,Brand,Processor_brand,Processor_name,Ram_gb,Ssd,Hdd,Os,Os_bit,Graphic_card_gb,Weight,Warranty,Touchscreen,Msoffice,Price,Number of ratings,Number of reviews
262,DELL,Intel,Core i5,16,512,0,Windows,64,2,Casual,1,0,1,69490,0,0
263,DELL,Intel,Core i5,16,512,0,Windows,64,0,Casual,1,1,1,89390,0,0
264,ASUS,Intel,Core i5,8,512,0,Windows,64,0,ThinNlight,1,0,0,74990,0,0
265,Lenovo,Intel,Core i5,8,512,0,Windows,64,0,Casual,3,1,1,64990,48,12
266,Lenovo,Intel,Core i5,8,512,0,Windows,64,4,Casual,1,0,1,66490,282,36
267,DELL,Intel,Core i5,16,512,0,Windows,64,2,Casual,1,0,1,89702,0,0
268,Lenovo,Intel,Core i5,16,512,0,Windows,64,2,Casual,1,0,1,70990,67,4
269,ASUS,Intel,Core i5,16,512,0,Windows,64,0,Casual,1,1,1,58990,0,0
270,Lenovo,Intel,Core i5,8,512,0,Windows,64,2,Casual,1,0,1,57500,0,0
271,DELL,Intel,Core i5,8,512,0,Windows,64,2,Casual,1,1,1,79990,23,2
